id,longitude,latitude,height
182,-118.46595,41.15213,10042.76
183,-118.34192,41.24524,10042.98
184,-118.21114,41.34295,10043.29
185,-118.20084,41.35063,10043.32
186,-118.03749,41.47218,10043.8
187,-118.02363,41.48293,10043.85
188,-118.00575,41.49732,10043.91
189,-117.99279,41.50822,10043.95
190,-117.88224,41.62019,10044.46
191,-117.77487,41.73303,10044.97
192,-117.71091,41.79902,10045.22
193,-117.54896,41.96512,10045.77
194,-117.44167,42.07448,10046.02
195,-117.33009,42.18782,10046.24
196,-117.22356,42.29567,10046.47
197,-117.11202,42.40792,10046.72
198,-117.00414,42.51599,10047.01
199,-116.89089,42.62896,10047.23
200,-116.78223,42.73691,10047.44
201,-116.67059,42.84728,10047.47
202,-116.56448,42.95175,10047.46
203,-116.45987,43.05432,10047.4
204,-116.35005,43.16137,10047.34
205,-116.24506,43.26334,10047.36
206,-116.13922,43.36574,10047.47
207,-116.03102,43.46997,10047.65
208,-115.91975,43.58192,10047.9
209,-115.81421,43.69277,10048.15
210,-115.70801,43.80258,10048.42
211,-115.59547,43.91822,10048.71
212,-115.48815,44.02803,10048.97
213,-115.38025,44.13795,10049.29
214,-115.26595,44.25382,10049.57
215,-115.15695,44.36372,10049.78
216,-115.04876,44.47243,10049.92
217,-114.94008,44.5811,10049.96
218,-114.83057,44.68991,10049.93
219,-114.72199,44.79744,10049.89
220,-114.61474,44.90318,10049.86
221,-114.50775,45.0081,10049.83
222,-114.39586,45.11742,10049.89
223,-114.28724,45.22288,10049.95
224,-114.1452,45.36018,10050.06
225,-114.03063,45.47031,10050.15
226,-113.91023,45.56812,10050.28
227,-113.77957,45.67081,10050.45
228,-113.65418,45.76769,10050.63
229,-113.52166,45.86923,10050.8
230,-113.39298,45.9674,10050.95
231,-113.25732,46.07053,10051
232,-113.12656,46.16925,10050.95
233,-112.99599,46.26736,10050.88
234,-112.85692,46.37138,10050.79
235,-112.72378,46.47044,10050.7
236,-112.59017,46.56935,10050.71
237,-112.45451,46.66919,10050.75
238,-112.40219,46.7075,10050.75
239,-112.18308,46.86731,10050.72
240,-112.04336,46.9686,10050.62
241,-111.91223,47.07069,10050.47
242,-111.78719,47.17534,10050.26
243,-111.65659,47.28245,10050.09
244,-111.52737,47.38783,10049.95
245,-111.39635,47.49399,10049.81
246,-111.26383,47.60092,10049.73
247,-111.13261,47.70612,10049.56
248,-110.9972,47.81413,10049.38
249,-110.86276,47.92076,10049.15
250,-110.72704,48.02771,10048.89
251,-110.59324,48.13269,10048.71
252,-110.45213,48.24274,10048.51
253,-110.29809,48.36214,10048.31
254,-110.15818,48.46991,10048.12
255,-110.01434,48.58001,10047.89
256,-109.87766,48.68405,10047.65
257,-109.73201,48.79427,10047.4
258,-109.59253,48.89912,10047.26
259,-109.4451,49.00946,10047.11
260,-109.29828,49.12085,10047.1
261,-109.15861,49.22635,10047.09
262,-109.00909,49.33844,10047.04
263,-108.86092,49.44878,10046.98
264,-108.71825,49.55443,10046.88
265,-108.56899,49.66429,10046.72
266,-108.42393,49.77044,10046.57
267,-108.27145,49.88123,10046.36
268,-108.1247,49.98719,10046.11
269,-107.97197,50.09683,10045.75
270,-107.82331,50.20291,10045.33
271,-107.68083,50.30452,10044.86
272,-107.47946,50.46744,10044.09
273,-107.34006,50.57956,10043.61
274,-107.20117,50.69032,10043.17
275,-107.06024,50.80199,10042.81
276,-106.91856,50.91358,10042.53
277,-106.7762,51.02502,10042.3
278,-106.63352,51.136,10042.14
279,-106.48335,51.25195,10042
280,-106.33897,51.36282,10041.91
281,-106.19385,51.47346,10041.81
282,-106.05192,51.58099,10041.72
283,-105.89882,51.69621,10041.62
284,-105.75058,51.80705,10041.51
285,-105.60936,51.91196,10041.39
286,-105.45824,52.02352,10041.25
287,-105.30106,52.13869,10041.07
288,-105.14606,52.25153,10040.87
289,-104.99657,52.35965,10040.58
290,-104.83852,52.47313,10040.27
291,-104.68841,52.58019,10039.9
292,-104.5369,52.68745,10039.52
293,-104.38322,52.79568,10039.14
294,-104.36918,52.80551,10039.1
295,-104.14574,52.96129,10038.5
296,-104.08882,53.00075,10038.34
297,-103.66236,53.29321,10037.06
298,-103.50163,53.40198,10036.52
299,-103.34328,53.50841,10035.99
300,-103.18163,53.61635,10035.45
301,-103.01807,53.72468,10034.91
302,-102.85287,53.83333,10034.47
303,-102.6947,53.93663,10034.08
304,-102.67634,53.94859,10034.03
305,-102.48911,54.06987,10033.65
306,-102.2399,54.22977,10033.22
307,-102.07179,54.33659,10032.94
308,-101.89569,54.44769,10032.64
309,-101.70779,54.56534,10032.33
310,-101.63161,54.61276,10032.22
311,-100.99348,55.0037,10031.42
312,-100.81579,55.11273,10031.19
313,-100.63565,55.22264,10030.93
314,-100.44937,55.33539,10030.6
315,-100.2748,55.44008,10030.29
316,-100.0996,55.54445,10030
317,-99.92199,55.64932,10029.73
318,-99.74412,55.75351,10029.49
319,-99.56592,55.85728,10029.14
320,-99.39177,55.95775,10028.76
321,-99.21032,56.0617,10028.26
322,-99.03151,56.16321,10027.69
323,-98.85481,56.26291,10027.12
324,-98.75731,56.3175,10026.81
325,-92.14444,59.53107,10623.76
326,-91.9352,59.61856,10623.89
327,-91.7233,59.7063,10624.05
328,-91.50816,59.79458,10624.26
329,-91.29959,59.87933,10624.49
330,-91.08373,59.96636,10624.75
331,-90.88204,60.06123,10624.98
332,-90.70332,60.17049,10625.19
333,-90.51695,60.27779,10625.42
334,-90.33527,60.38063,10625.63
335,-90.149,60.48518,10625.84
336,-90.02708,60.5532,10625.97
337,-89.74967,60.70626,10626.24
338,-89.617,60.77884,10626.34
339,-87.30364,61.97255,10628.64
340,-75.30364,65.37255,10628.64
341,-72.30364,66.153965,10628.64
342,-59.43304,68.13538,10694.36
343,-59.06637,68.17969,10695.72
344,-58.69851,68.22324,10696.85
345,-58.32642,68.26625,10697.56
346,-57.95463,68.30823,10697.89
347,-57.58284,68.34924,10698.01
348,-57.21012,68.38943,10698.12
349,-56.83685,68.42862,10698.38
350,-56.46272,68.46693,10698.76
351,-56.08337,68.50484,10699.18
352,-55.70435,68.54182,10699.41
353,-55.31946,68.57824,10699.27
354,-54.92968,68.61415,10698.75
355,-54.5568,68.64748,10698.01
356,-54.16822,68.6814,10697.2
357,-53.78302,68.71394,10696.55
358,-53.39172,68.7459,10696.21
359,-52.99648,68.77739,10696.22
360,-52.60954,68.80714,10696.5
361,-52.21953,68.83614,10696.91
362,-51.83844,68.86361,10697.44
363,-51.44309,68.89105,10698.12
364,-51.04564,68.91775,10698.95
365,-50.65205,68.94307,10699.93
366,-50.26114,68.96736,10700.99
367,-49.862,68.9873,10702.1
368,-49.45413,68.99833,10703.2
369,-49.04689,69.00851,10704.25
370,-48.65419,69.01737,10705.2
371,-48.29727,69.02459,10706.04
372,-29.1449,67.84658,11341.65
373,-28.98855,67.82117,11341.68
374,-28.52525,67.74468,11341.68
375,-28.04757,67.66386,11341.81
376,-27.71401,67.60634,11342.03
377,-27.37356,67.54655,11342.31
378,-27.0469,67.48827,11342.56
379,-26.72125,67.42923,11342.67
380,-26.39715,67.36942,11342.64
381,-26.07518,67.30913,11342.52
382,-25.7552,67.24829,11342.39
383,-25.49839,67.19872,11342.44
384,-25.02888,67.10655,11342.85
385,-24.71243,67.04324,11343.37
386,-24.39717,66.97925,11343.99
387,-24.08335,66.91452,11344.62
388,-23.77346,66.84965,11345.14
389,-23.46293,66.78374,11345.54
390,-23.15693,66.71787,11345.83
391,-22.84894,66.65057,11346.07
392,-22.54657,66.58357,11346.3
393,-22.24051,66.51475,11346.53
394,-21.94095,66.44648,11346.77
395,-21.64486,66.37798,11347
396,-21.34827,66.30853,11347.2
397,-21.05129,66.23799,11347.38
398,-20.76073,66.168,11347.56
399,-20.46514,66.09585,11347.79
400,-20.17269,66.02355,11348.04
401,-19.8698,65.9599,11348.29
402,-19.54587,65.91103,11348.51
403,-19.22667,65.86047,11348.73
404,-18.90771,65.8089,11348.91
405,-18.5854,65.75574,11349.05
406,-18.26923,65.70277,11349.11
407,-17.94079,65.64685,11349.12
408,-17.62601,65.59234,11349.1
409,-17.31125,65.53702,11349.04
410,-16.99459,65.48039,11348.95
411,-16.68549,65.42427,11348.86
412,-16.37524,65.36705,11348.81
413,-16.07058,65.31001,11348.81
414,-15.76197,65.25128,11348.82
415,-15.45353,65.19176,11348.76
416,-15.1474,65.1318,11348.59
417,-14.84413,65.07147,11348.29
418,-14.5448,65.01105,11347.88
419,-14.23416,64.9474,11347.31
420,-13.92803,64.88374,11346.75
421,-13.63037,64.82101,11346.29
422,-13.33048,64.75685,11345.94
423,-13.03505,64.69281,11345.71
424,-12.74288,64.62856,11345.56
425,-12.4541,64.56418,11345.46
426,-12.16604,64.49899,11345.34
427,-11.86913,64.43105,11345.14
428,-11.61442,64.37192,11344.91
429,-10.65684,64.14345,11343.62
430,-10.36856,64.07259,11343.14
431,-10.08732,64.00272,11342.68
432,-9.80299,63.93689,11342.26
433,-9.51532,63.87328,11341.9
434,-9.2317,63.80892,11341.63
435,-8.94171,63.74226,11341.42
436,-8.68986,63.68351,11341.25
437,-8.68986,63.68351,11341.25
438,-8.68986,63.68351,11341.25
439,-7.92336,63.50079,11340.42
440,-7.64275,63.43227,11339.93
441,-7.3626,63.36295,11339.44
442,-7.07893,63.29186,11338.96
443,-6.79746,63.22041,11338.59
444,-6.51996,63.14909,11338.35
445,-6.2396,63.07619,11338.19
446,-5.96405,63.00343,11338.03
447,-5.68573,62.92918,11337.78
448,-5.41433,62.8559,11337.48
449,-5.14192,62.78137,11337.16
450,-4.87172,62.70662,11336.81
451,-4.59666,62.62958,11336.46
452,-4.32555,62.55266,11336.15
453,-4.05406,62.47478,11335.77
454,-3.78426,62.39643,11335.2
455,-3.51362,62.31692,11334.51
456,-3.23642,62.23443,11333.7
457,-2.95807,62.15054,11332.93
458,-2.68351,62.0668,11332.33
459,-2.40287,61.98033,11331.99
460,-2.12929,61.89487,11332.02
461,-1.85286,61.80753,11332.24
462,-1.58244,61.72105,11332.59
463,-1.29796,61.629,11332.95
464,-0.99897,61.53575,11333.24
465,-0.72598,61.44937,11333.32
466,-0.4629,61.36505,11333.18
467,-0.20344,61.28091,11332.86
468,0.06082,61.19394,11332.32
469,0.30075,61.10381,11331.7
470,0.55559,61.00829,11331.04
471,0.80816,60.91292,11330.49
472,1.05645,60.81812,11330.09
473,1.20163,60.76212,11329.93
474,1.55545,60.62428,11329.72
475,1.7891,60.53211,11329.61
476,2.11271,60.40288,11329.37
477,2.34208,60.31018,11329.1
478,2.58365,60.2115,11328.73
479,2.82178,60.11334,11328.3
480,3.05901,60.01431,11327.89
481,3.30066,59.91238,11327.52
482,3.54318,59.80911,11327.27
483,3.81699,59.69128,11327.18
484,4.04382,59.59264,11327.21
485,4.26781,59.49413,11327.28
486,4.48981,59.39563,11327.33
487,4.71266,59.29577,11327.27
488,4.9339,59.19569,11327.12
489,5.15121,59.09647,11326.93
490,5.369,58.99593,11326.76
491,5.58712,58.89445,11326.64
492,5.80106,58.79399,11326.63
493,6.01209,58.69382,11326.61
494,6.22302,58.59279,11326.54
495,6.43561,58.49014,11326.41
496,6.64318,58.38904,11326.06
497,6.85901,58.28279,11325.58
498,7.06518,58.18048,11325.08
499,7.33904,58.04292,11324.34
500,7.54349,57.93929,11323.87
501,7.75497,57.83101,11323.44
502,7.96483,57.72258,11323.05
503,8.21414,57.59252,11322.7
504,8.41748,57.48535,11322.44
505,8.61745,57.3788,11322.24
506,8.82158,57.26926,11322.04
507,8.97506,57.19446,11321.91
508,9.00507,57.18388,11321.88
509,9.26585,57.09398,10613
510,9.50849,57.00964,9820.32
511,9.78744,56.91142,9141.98
512,10.01519,56.83041,8555.11
513,10.23368,56.75202,8044.42
514,10.44206,56.67646,7510.89
515,10.6392,56.6044,6977.33
516,10.83072,56.53383,6359.92
517,11.00705,56.4684,5826.32
518,11.18348,56.4025,5368.92
519,11.27506,56.36806,5224.04
520,11.35806,56.33677,5223.95
521,11.43522,56.30759,5223.86
522,11.51525,56.27714,5200.91
523,11.6019,56.2441,4804.58
524,11.69271,56.20927,4347.29
525,11.77829,56.17645,4034.79
526,11.86415,56.14343,3806.12
527,11.94858,56.11081,3524.1
528,11.9781,56.0994,3394.53
529,12.00814,56.08772,3295.44
530,12.03852,56.07591,3196.35
531,12.06931,56.06392,3142.99
532,12.09844,56.05261,3120.1
533,12.12674,56.04163,3097.22
534,12.15362,56.03114,3074.33
535,12.18075,56.02059,3051.45
536,12.20744,56.01016,3028.56
537,12.23328,56.00001,2998.06
538,12.25825,55.99019,2944.7
539,12.28366,55.98023,2868.48
540,12.30761,55.97082,2746.55
541,12.33224,55.96115,2616.99
542,12.35754,55.95117,2472.19
543,12.38201,55.94156,2335.01
544,12.41163,55.9299,2190.21
545,12.43567,55.92041,2053.03
546,12.46058,55.91052,1938.7
547,12.48321,55.90156,1824.38
548,12.50836,55.89155,1694.82
549,12.53124,55.88246,1595.74
550,12.5542,55.87334,1504.28
551,12.56703,55.86827,1458.55
552,12.58939,55.85938,1351.85
553,12.60165,55.85454,1306.12
554,12.62398,55.84569,1214.66
555,12.63316,55.84206,1176.55
556,12.64551,55.83714,1130.81
557,12.66682,55.82863,1062.21
558,12.68605,55.82094,1016.47
559,12.70785,55.81224,955.49
560,12.72658,55.80473,924.99
561,12.73615,55.80093,902.12
562,12.74526,55.79728,871.63
563,12.76362,55.78995,841.13
564,12.77244,55.78638,818.26
565,12.78259,55.78234,795.39
566,12.80016,55.7753,734.41
567,12.80954,55.77102,703.92
568,12.81495,55.7673,673.43
569,12.82013,55.76074,642.94
570,12.81747,55.7384,612.43
571,12.8148,55.73186,597.19
572,12.81186,55.72503,597.18
573,12.80388,55.71316,597.17
574,12.78018,55.69752,581.93
575,12.77219,55.69258,536.21
576,12.7571,55.68304,475.24
577,12.75097,55.67903,429.52
578,12.727,55.66365,307.61
579,12.6853,55.63683,86.64
580,12.64044,55.60784,40.93
581,12.63927,55.60707,40.93
582,12.63853,55.60685,40.93
583,12.63777,55.60692,40.93
584,12.63715,55.60722,40.93
585,12.63595,55.6083,40.94
586,12.6364,55.60869,40.94
587,12.63698,55.60918,40.94
588,12.63788,55.60994,40.94
589,12.63842,55.61042,40.94
590,12.63904,55.61097,40.93
591,12.64046,55.6122,40.93
592,12.64114,55.61282,40.93
593,12.64187,55.61343,40.93
594,12.64267,55.61413,40.93
595,12.64345,55.61482,40.93
596,12.64487,55.61603,40.93
597,12.64535,55.61645,40.93
598,12.64568,55.61689,40.93
599,12.64554,55.61756,40.93
600,12.64539,55.61799,40.93
601,12.6452,55.61862,40.93
602,12.64503,55.61921,40.94
603,12.64507,55.61959,40.94
604,12.64531,55.61997,40.94
605,12.6457,55.62033,40.94
606,12.64616,55.62074,40.94
607,12.64662,55.62112,40.94
608,12.64732,55.62171,40.93
609,12.64784,55.62218,40.93
610,12.64791,55.62269,40.94
611,12.64786,55.62305,40.94
612,12.64782,55.62333,40.94
613,12.6478,55.62367,40.94
614,12.64776,55.62396,40.94
615,12.64774,55.62442,40.94
616,12.64774,55.62472,40.94
617,12.64788,55.62494,40.94
618,12.6483,55.62496,40.94
619,12.64852,55.62494,40.94
620,12.64878,55.62493,40.94
621,12.64904,55.62492,40.94
622,12.64928,55.62491,40.94
623,12.64936,55.6249,40.94
624,12.64949,55.62442,40.94
625,12.64936,55.6247,40.94
